SBID,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,RACS_0202+37A,0,01:59:52.961,+38:09:17.3498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.640,8.120,-2.500
8537,RACS_0202+37A,1,02:05:13.421,+38:09:17.3498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.280,8.060,-1.300
8537,RACS_0202+37A,2,01:59:55.21,+37:06:17.6,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.000,8.190,-2.300
8537,RACS_0202+37A,3,02:05:11.172,+37:06:17.6,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.060,8.180,-1.000
8537,RACS_0202+37A,4,01:54:25.411,+39:11:23.14,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.040,8.080,-3.800
8537,RACS_0202+37A,5,01:59:50.592,+39:12:17.7502,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,32.990,7.810,-2.200
8537,RACS_0202+37A,6,02:05:15.79,+39:12:17.7502,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.160,8.020,-1.400
8537,RACS_0202+37A,7,02:10:40.973,+39:11:23.14,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.150,8.060,-0.000
8537,RACS_0202+37A,8,02:10:33.869,+38:08:23.5702,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,31.300,7.850,0.100
8537,RACS_0202+37A,9,02:10:27.127,+37:05:24.58,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.700,8.120,0.100
8537,RACS_0202+37A,10,02:10:20.726,+36:02:24.9,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.170,8.200,-0.200
8537,RACS_0202+37A,11,02:05:09.038,+36:03:17.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.070,8.270,-1.200
8537,RACS_0202+37A,12,01:59:57.343,+36:03:17.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.760,8.250,-2.200
8537,RACS_0202+37A,13,01:54:45.655,+36:02:24.9,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.730,8.210,-3.500
8537,RACS_0202+37A,14,01:54:39.254,+37:05:24.58,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.960,8.200,-3.500
8537,RACS_0202+37A,15,01:54:32.513,+38:08:23.5702,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.620,8.140,-3.700
8537,RACS_0202+37A,16,01:48:47.801,+40:12:33.5498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.660,7.990,-5.200
8537,RACS_0202+37A,17,01:54:17.921,+40:14:24.54,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.620,8.040,-3.800
8537,RACS_0202+37A,18,01:59:48.096,+40:15:20.02,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,33.750,7.830,-2.300
8537,RACS_0202+37A,19,02:05:18.286,+40:15:20.02,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.060,7.830,-1.400
8537,RACS_0202+37A,20,02:10:48.461,+40:14:24.54,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.190,7.720,-0.100
8537,RACS_0202+37A,21,02:16:18.581,+40:12:33.5498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.070,7.780,1.200
8537,RACS_0202+37A,22,02:16:06.11,+39:09:33.9098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,28.490,7.770,1.200
8537,RACS_0202+37A,23,02:15:54.283,+38:06:35.96,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,31.140,7.660,1.300
8537,RACS_0202+37A,24,02:15:43.056,+37:03:38.48,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.030,7.770,1.400
8537,RACS_0202+37A,25,02:15:32.398,+36:00:40.2098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.770,8.120,1.400
8537,RACS_0202+37A,26,02:15:22.272,+34:57:39.82,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.160,8.150,1.300
8537,RACS_0202+37A,27,02:10:14.647,+34:59:23.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.820,8.230,-0.100
8537,RACS_0202+37A,28,02:05:07.01,+35:00:14.94,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.820,8.240,-1.200
8537,RACS_0202+37A,29,01:59:59.371,+35:00:14.94,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.510,8.210,-2.200
8537,RACS_0202+37A,30,01:54:51.734,+34:59:23.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.470,8.220,-3.500
8537,RACS_0202+37A,31,01:49:44.11,+34:57:39.82,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.460,8.220,-4.700
8537,RACS_0202+37A,32,01:49:33.984,+36:00:40.2098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.880,8.180,-5.000
8537,RACS_0202+37A,33,01:49:23.326,+37:03:38.48,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.820,8.100,-4.800
8537,RACS_0202+37A,34,01:49:12.098,+38:06:35.96,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,28.110,7.910,-4.800
8537,RACS_0202+37A,35,01:49:00.271,+39:09:33.9098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,28.750,7.850,-5.000
8537,RACS_0233+37A,0,02:30:31.26,+38:09:17.3498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,28.170,7.910,8.200
8537,RACS_0233+37A,1,02:35:51.72,+38:09:17.3498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.870,7.820,9.500
8537,RACS_0233+37A,2,02:30:33.506,+37:06:17.6,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.600,8.020,8.200
8537,RACS_0233+37A,3,02:35:49.471,+37:06:17.6,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.670,7.990,9.400
8537,RACS_0233+37A,4,02:25:03.708,+39:11:23.14,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.500,7.870,7.000
8537,RACS_0233+37A,5,02:30:28.891,+39:12:17.7502,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,33.610,7.590,7.800
8537,RACS_0233+37A,6,02:35:54.086,+39:12:17.7502,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.760,7.790,9.200
8537,RACS_0233+37A,7,02:41:19.27,+39:11:23.14,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,29.920,7.800,10.700
8537,RACS_0233+37A,8,02:41:12.168,+38:08:23.5702,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.960,7.620,10.100
8537,RACS_0233+37A,9,02:41:05.426,+37:05:24.58,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.350,7.910,10.600
8537,RACS_0233+37A,10,02:40:59.026,+36:02:24.9,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.660,8.050,10.000
8537,RACS_0233+37A,11,02:35:47.338,+36:03:17.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.580,8.120,9.000
8537,RACS_0233+37A,12,02:30:35.642,+36:03:17.24,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.340,8.150,8.100
8537,RACS_0233+37A,13,02:25:23.952,+36:02:24.9,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,26.290,8.160,6.700
8537,RACS_0233+37A,14,02:25:17.551,+37:05:24.58,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,27.550,8.090,7.000
8537,RACS_0233+37A,15,02:25:10.812,+38:08:23.5702,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,28.090,7.940,7.000
8537,RACS_0233+37A,16,02:19:26.098,+40:12:33.5498,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,30.860,7.800,5.500
8537,RACS_0233+37A,17,02:24:56.22,+40:14:24.54,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.070,7.810,7.000
8537,RACS_0233+37A,18,02:30:26.393,+40:15:20.02,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,34.280,7.590,7.900
8537,RACS_0233+37A,19,02:35:56.585,+40:15:20.02,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,30.850,7.580,9.500
8537,RACS_0233+37A,20,02:41:26.758,+40:14:24.54,2019-04-21 04:11:29.501,2019-04-21 04:26:35.318,31.110,7.460,10.700
