SBID,OBS_FREQ,FIELD_NME,BEM,R_HMS,DEC_DMS,DTEOBS,DTEEND,NINT,BMJ,BMIN,BP
45535,887.5,VAST_1600-50,29,15:56:31.990,-52:43:07.070,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,15.021879791392225,11.415544793773597,-20.4783410564145
45535,887.5,VAST_1600-50,30,15:49:36.130,-52:41:39.260,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.940707358677292,11.37233216759814,-18.1759561436474
45535,887.5,VAST_1600-50,31,15:42:40.742,-52:38:43.730,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.748392428579152,11.33096263561944,-14.4240391699581
45535,887.5,VAST_1600-50,32,15:43:04.958,-51:35:47.900,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.61042306195012,11.350467486041689,-14.4947401961495
45535,887.5,VAST_1600-50,33,15:43:27.739,-50:32:53.520,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.48477125947072,11.378288224825091,-14.5876348316137
45535,887.5,VAST_1600-50,34,15:43:49.198,-49:29:59.350,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.32572363539359,11.373093148617937,-14.6034540158968
45535,887.5,VAST_1600-50,35,15:44:09.439,-48:27:04.140,2022-11-14 03:18:40.417,2022-11-14 03:30:47.007,73,14.208669487078092,11.398651847371296,-14.6373736671803
45536,887.5,VAST_1600-50,0,15:56:45.722,-49:34:05.120,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.263111054954656,11.300599205599212,-8.69179330478998
45536,887.5,VAST_1600-50,1,16:03:14.278,-49:34:05.120,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.282652434691528,11.326712369056668,-10.936729031033
45536,887.5,VAST_1600-50,2,15:56:41.419,-50:37:04.730,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.401706298925934,11.293691220882971,-8.79884770132569
45536,887.5,VAST_1600-50,3,16:03:18.581,-50:37:04.730,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.40597188870802,11.305387614496716,-11.0724663981091
45536,887.5,VAST_1600-50,4,15:50:29.453,-48:29:44.590,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.102762057400994,11.264916729667355,-6.35586378829208
45536,887.5,VAST_1600-50,5,15:56:49.783,-48:31:04.840,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.131950165880488,11.306736425649852,-8.56131607458973
45536,887.5,VAST_1600-50,6,16:03:10.217,-48:31:04.840,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.146582069820951,11.330140536995076,-10.8028496681364
45536,887.5,VAST_1600-50,7,16:09:30.547,-48:29:44.590,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.17868332857486,11.371937586093251,-13.0622941255175
45536,887.5,VAST_1600-50,8,16:09:42.715,-49:32:43.190,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.312611086015242,11.36778385506858,-13.242144096737
45536,887.5,VAST_1600-50,9,16:09:55.615,-50:35:40.990,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.441004503980343,11.349454132046016,-13.4319797085871
45536,887.5,VAST_1600-50,10,16:10:09.310,-51:38:39.260,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.586059627349552,11.33649082335096,-13.5486643123153
45536,887.5,VAST_1600-50,11,16:03:23.150,-51:40:04.940,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.555451626649647,11.303374212165457,-11.1893542750076
45536,887.5,VAST_1600-50,12,15:56:36.850,-51:40:04.940,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.528349828386318,11.274951098277324,-8.88376793935158
45536,887.5,VAST_1600-50,13,15:49:50.690,-51:38:39.260,2022-11-14 03:48:32.008,2022-11-14 04:00:28.644,72,14.490468626002812,11.23347534835716,-6.59572814639722
