field,centre-ra,centre-dec

VAST_0056-31A,14.12074696385262,-31.397409554915622
VAST_0101-37A,15.32526312216696,-37.64965980474608
VAST_0102+06A,15.514272751234452,6.300360555439073
VAST_0103-56A,15.901741058383443,-56.33906458175786
VAST_0106-43A,16.753218608502582,-43.89059902676564
VAST_0113-50A,18.475765960592938,-50.12041227651855
VAST_0124-31A,21.17956779718262,-31.397409554915622
VAST_0126+06A,21.72117275123445,6.300360555439073
VAST_0131-37A,22.984833955496963,-37.64965980474608
VAST_0140-43A,25.12530610850258,-43.89059902676564
VAST_0145-56A,26.48997855838344,-56.33906458175786
VAST_0150-50A,27.706536793922936,-50.12041227651855
VAST_0151+06A,27.92806025123445,6.300360555439073
VAST_0152-31A,28.23838863052262,-31.397409554915622
VAST_0202-37A,30.644413122166963,-37.64965980474608
VAST_0206-12A,31.576142978042444,-12.586404805322848
VAST_0213-43A,33.497397775162575,-43.89059902676564
VAST_0216+06A,34.13496025123445,6.300360555439073
VAST_0221-31A,35.29721779718262,-31.397409554915622
VAST_0227-50A,36.93730762726294,-50.12041227651855
VAST_0228-56A,37.07821189171344,-56.33906458175786
VAST_0231-12A,37.89193047804244,-12.586404805322848
VAST_0233-37A,38.30398395549696,-37.64965980474608
VAST_0241+06A,40.34186025123446,6.300360555439073
VAST_0247-43A,41.86949777516258,-43.89059902676564
VAST_0249-31A,42.35603863052262,-31.397409554915622
VAST_0303-37A,45.96356312216696,-37.64965980474608
VAST_0306+06A,46.54875191790445,6.300360555439073
VAST_0317-31A,49.41485946385262,-31.397409554915622
VAST_0331+06A,52.75565191790445,6.300360555439073
VAST_0334-37A,53.62313395549696,-37.64965980474608
VAST_0345-31A,56.473688630522624,-31.397409554915622
VAST_0355+06A,58.962551917904456,6.300360555439073
VAST_0405-37A,61.28270478882696,-37.64965980474608
VAST_0414-31A,63.53250946385262,-31.397409554915622
VAST_0420+00A,65.16998486110701,0.0037709444443794
VAST_0420+06A,65.16944358457445,6.300360555439073
VAST_0420-06A,65.16980983607922,-6.298124749883651
VAST_0435-37A,68.94228395549696,-37.64965980474608
VAST_0442-31A,70.59132613052262,-31.397409554915622
VAST_0445+00A,71.37688486110702,0.0037709444443794
VAST_0445+06A,71.37634358457444,6.300360555439073
VAST_0445-06A,71.37670150273922,-6.298124749883651
VAST_0506-37A,76.60185478882696,-37.64965980474608
VAST_0510+00A,77.58377652777702,0.0037709444443794
VAST_0510+06A,77.58324358457445,6.300360555439073
VAST_0510-06A,77.58360150273921,-6.298124749883651
VAST_0510-31A,77.65015946385262,-31.397409554915622
VAST_0535+00A,83.79067652777701,0.0037709444443794
VAST_0535+06A,83.79013108457444,6.300360555439073
VAST_0535-06A,83.79049316940922,-6.298124749883651
VAST_0537-37A,84.26143395549695,-37.64965980474608
VAST_0538-31A,84.70897613052261,-31.397409554915622
VAST_0600+00A,89.99757652777701,0.0037709444443794
VAST_0600+06A,89.99703108457445,6.300360555439073
VAST_0600-06A,89.99739316940922,-6.298124749883651
VAST_0624-06A,96.20429316940924,-6.298124749883651
VAST_0709-12A,107.36561381134244,-12.586404805322848
VAST_0714+06A,108.61772275120444,6.300360555439073
VAST_0725-18A,111.27117181454904,-18.86624408297825
VAST_0734-12A,113.68140131134244,-12.586404805322848
VAST_0739+00A,114.82515569447702,0.0037709444443794
VAST_0739+06A,114.82461025120443,6.300360555439073
VAST_0739-06A,114.8249806694092,-6.298124749883651
VAST_0741-25A,115.47230353949308,-25.136276777284102
VAST_0751-18A,117.81663431454903,-18.86624408297825
VAST_0800-31A,120.0030969638526,-31.397409554915622
VAST_0804+00A,121.032055694477,0.0037709444443794
VAST_0804+06A,121.03151025120444,6.300360555439073
VAST_0804-06A,121.03187233610922,-6.298124749883651
VAST_0809-25A,122.26476187289306,-25.136276777284102
VAST_0810-37A,122.55930478879696,-37.64965980474608
VAST_0822-43A,125.59042694183258,-43.89059902676564
VAST_0828+00A,127.238955694477,0.0037709444443794
VAST_0828+06A,127.23841025120444,6.300360555439073
VAST_0828-06A,127.23877233610922,-6.298124749883651
VAST_0828-31A,127.06191779715262,-31.397409554915622
VAST_0840-37A,130.21887145549698,-37.64965980474608
VAST_0853+00A,133.44585569447702,0.0037709444443794
VAST_0853+06A,133.44531025120446,6.300360555439073
VAST_0853-06A,133.44567233610923,-6.298124749883651
VAST_0855-43A,133.96251860853258,-43.89059902676564
VAST_0913-50A,138.47576596059292,-50.12041227651855
VAST_0918+06A,139.65220191790445,6.300360555439073
VAST_0931-56A,142.96056189168343,-56.33906458175786
VAST_0943+06A,145.85910191790447,6.300360555439073
VAST_0950-50A,147.70653679389292,-50.12041227651855
VAST_1008+06A,152.06599358460446,6.300360555439073
VAST_1012-37A,153.19760478879698,-37.64965980474608
VAST_1014-56A,153.54879939168345,-56.33906458175786
VAST_1021-31A,155.29721779715263,-31.397409554915622
VAST_1033+06A,158.27289358460447,6.300360555439073
VAST_1036-43A,159.0787977751326,-43.89059902676564
VAST_1043-37A,160.85717145549697,-37.64965980474608
VAST_1045-62A,161.40614610116094,-62.54328610908296
VAST_1049-31A,162.35603863055263,-31.397409554915622
VAST_1056-56A,164.13702855838343,-56.33906458175786
VAST_1057+06A,164.4797935846045,6.300360555439073
VAST_1109-43A,167.45088527513258,-43.89059902676564
VAST_1114-37A,168.516754788797,-37.64965980474608
VAST_1117-31A,169.41485946385262,-31.397409554915622
VAST_1122+06A,170.68669358460446,6.300360555439073
VAST_1135-62A,173.81994610116095,-62.54328610908296
VAST_1141-50A,175.39884512729293,-50.12041227651855
VAST_1143-43A,175.82297694183256,-43.89059902676564
VAST_1144-37A,176.17632145549695,-37.64965980474608
VAST_1145-31A,176.47368863055263,-31.397409554915622
VAST_1147+06A,176.89358108460445,6.300360555439073
VAST_1212+06A,183.10048108460447,6.300360555439073
VAST_1214-31A,183.53250946385265,-31.397409554915622
VAST_1215-37A,183.83590478879697,-37.64965980474608
VAST_1216-43A,184.19507694183255,-43.89059902676564
VAST_1218-50A,184.62961596059293,-50.12041227651855
VAST_1224-62A,186.2337377677609,-62.54328610908296
VAST_1237+06A,189.30737275120447,6.300360555439073
VAST_1242-31A,190.59132613055263,-31.397409554915622
VAST_1245-37A,191.49547145549695,-37.64965980474608
VAST_1250-43A,192.56716860853257,-43.89059902676564
VAST_1255-50A,193.86037429389293,-50.12041227651855
VAST_1302+06A,195.5142727512045,6.300360555439073
VAST_1310-31A,197.65015946385265,-31.397409554915622
VAST_1314-62A,198.64752526776093,-62.54328610908296
VAST_1316-37A,199.15505478879697,-37.64965980474608
VAST_1323-43A,200.9392561085326,-43.89059902676564
VAST_1326+06A,201.72117275120445,6.300360555439073
VAST_1332-50A,203.09114512729292,-50.12041227651855
VAST_1338-31A,204.70897613055263,-31.397409554915622
VAST_1347-37A,206.81462145549696,-37.64965980474608
VAST_1351+06A,207.92806025120447,6.300360555439073
VAST_1357-43A,209.31135610853255,-43.89059902676564
VAST_1404-62A,211.06131693446096,-62.54328610908296
VAST_1416+06A,214.1349602512045,6.300360555439073
VAST_1428-56A,217.07821189168345,-56.33906458175786
VAST_1441+06A,220.34186025120445,6.300360555439073
VAST_1453-62A,223.4751169344609,-62.54328610908296
VAST_1506+00A,226.549297361077,0.0037709444443794
VAST_1506+06A,226.54875191790447,6.300360555439073
VAST_1506-06A,226.5491223361092,-6.298124749883651
VAST_1510-56A,227.66644939168344,-56.33906458175786
VAST_1531+00A,232.75619736107703,0.0037709444443794
VAST_1531+06A,232.7556519179045,6.300360555439073
VAST_1531-06A,232.75600983610923,-6.298124749883651
VAST_1552-56A,238.25467855838343,-56.33906458175786
VAST_1555+00A,238.96309736107705,0.0037709444443794
VAST_1555+06A,238.96255191790445,6.300360555439073
VAST_1555-06A,238.9629098361092,-6.298124749883651
VAST_1600-50A,240.0142242938929,-50.12041227651855
VAST_1620+00A,245.169984861077,0.0037709444443794
VAST_1620+06A,245.1694435846045,6.300360555439073
VAST_1620-06A,245.1698098361092,-6.298124749883651
VAST_1636-50A,249.24499512729287,-50.12041227651855
VAST_1644-43A,251.1718186085326,-43.89059902676564
VAST_1645+00A,251.376884861077,0.0037709444443794
VAST_1645+06A,251.37634358460448,6.300360555439073
VAST_1645-06A,251.3767015027092,-6.298124749883651
VAST_1651-37A,252.77207145549696,-37.64965980474608
VAST_1710+00A,257.58377652777705,0.0037709444443794
VAST_1710+06A,257.5832435846045,6.300360555439073
VAST_1710-06A,257.5836015027092,-6.298124749883651
VAST_1718-43A,259.5439186085326,-43.89059902676564
VAST_1721-37A,260.431642288797,-37.64965980474608
VAST_1735+00A,263.79067652777707,0.0037709444443794
VAST_1735+06A,263.79013108460447,6.300360555439073
VAST_1735-06A,263.7904931694092,-6.298124749883651
VAST_1800+00A,269.997576527777,0.0037709444443794
VAST_1800+06A,269.9970310846045,6.300360555439073
VAST_1800-06A,269.99739316940924,-6.298124749883651
VAST_1806-12A,271.5761429780424,-12.586404805322848
VAST_1819-18A,274.9075426478491,-18.86624408297825
VAST_1824+06A,276.20393108460445,6.300360555439073
VAST_1831-12A,277.8919304780424,-12.586404805322848
VAST_1914-06A,288.6180806694092,-6.298124749883651
VAST_1939+00A,294.825155694477,0.0037709444443794
VAST_1939+06A,294.82461025120443,6.300360555439073
VAST_1939-06A,294.82498066940923,-6.298124749883651
VAST_2004+06A,301.03151025120445,6.300360555439073
VAST_2014-31A,303.53250946385265,-31.397409554915622
VAST_2025-37A,306.389092288797,-37.64965980474608
VAST_2028+06A,307.23841025120447,6.300360555439073
VAST_2042-31A,310.5913261305526,-31.397409554915622
VAST_2053+06A,313.4453102512045,6.300360555439073
VAST_2056-37A,314.04866312219696,-37.64965980474608
VAST_2110-31A,317.6501594638526,-31.397409554915622
VAST_2118+06A,319.65220191790445,6.300360555439073
VAST_2126-37A,321.7082422887969,-37.64965980474608
VAST_2138-31A,324.7089761305526,-31.397409554915622
VAST_2143+06A,325.85910191790447,6.300360555439073
VAST_2157-37A,329.367813122197,-37.64965980474608
VAST_2207-31A,331.7677969638526,-31.397409554915622
VAST_2208+06A,332.0659935846045,6.300360555439073
VAST_2228-37A,337.027392288797,-37.64965980474608
VAST_2233+06A,338.27289358460445,6.300360555439073
VAST_2235-31A,338.8266261305526,-31.397409554915622
VAST_2257+06A,344.47979358460447,6.300360555439073
VAST_2258-37A,344.68696312219697,-37.64965980474608
VAST_2303-31A,345.88544696385264,-31.397409554915622
VAST_2322+06A,350.6866935846045,6.300360555439073
VAST_2323-50A,350.783457627293,-50.12041227651855
VAST_2326-43A,351.6369352751326,-43.89059902676564
VAST_2329-37A,352.34654228879697,-37.64965980474608
VAST_2331-31A,352.94426779715263,-31.397409554915622
VAST_2338-56A,354.7252702250835,-56.33906458175786
VAST_2347+06A,356.8935810846045,6.300360555439073
VAST_2359-43A,0.0090269418325897,-43.89059902676564
VAST_0012+00A,3.1017473611100224,0.0037709444443794287
VAST_0012-06A,3.101559836022031,-6.298205277661648
VAST_0037+00A,9.305905694444023,0.0037709444443794287
VAST_0037-06A,9.30573066935503,-6.298205277661648
VAST_0102+00A,15.514247361107023,0.0037709444443794287
VAST_0102-06A,15.51405983602503,-6.298205277661648
VAST_0126+00A,21.722576527777022,0.0037709444443794287
VAST_0126-06A,21.72239316935503,-6.298205277661648
VAST_0127-73A,21.833684181015,-73.12027869098046
VAST_0151+00A,27.926747361107022,0.0037709444443794287
VAST_0151-06A,27.92655983602503,-6.298205277661648
VAST_0216+00A,34.135076527777024,0.0037709444443794287
VAST_0216-06A,34.13489316935503,-6.298205277661648
VAST_0241+00A,40.34340569444702,0.0037709444443794287
VAST_0241-06A,40.34323066935504,-6.298205277661648
VAST_0304-50A,46.16839387814278,-50.120334498738565
VAST_0306+00A,46.547576527777025,0.0037709444443794287
VAST_0306-06A,46.54739316935503,-6.298205277661648
VAST_0310-56A,47.665222723594034,-56.33915347063786
VAST_0318-62A,49.68100360169307,-62.54326388686297
VAST_0320-43A,50.242367359311544,-43.890499026765625
VAST_0331+00A,52.75590569444702,0.0037709444443794287
VAST_0331-06A,52.75573066935503,-6.298205277661648
VAST_0341-50A,55.397564711472775,-50.120334498738565
VAST_0352-56A,58.25272272359403,-56.33915347063786
VAST_0354-43A,58.613196525971546,-43.890499026765625
VAST_0355+00A,58.96424736110702,0.0037709444443794287
VAST_0355-06A,58.96405983602504,-6.298205277661648
VAST_0408-62A,62.09767443502307,-62.54326388686297
VAST_0418-50A,64.63089387814277,-50.120334498738565
VAST_0427-43A,66.98403402597154,-43.890499026765625
VAST_0435-56A,68.84439355692405,-56.33915347063786
VAST_0455-50A,73.86006471147277,-50.120334498738565
VAST_0457-62A,74.51017443502306,-62.54326388686297
VAST_0501-43A,75.35903402597154,-43.890499026765625
VAST_0517-56A,79.43189355692404,-56.33915347063786
VAST_0530-68A,82.53291133288258,-68.73601183063423
VAST_0532-50A,83.08922304480276,-50.120334498738565
VAST_0534-43A,83.72986735931154,-43.890499026765625
VAST_0547-62A,86.92267443502307,-62.54326388686297
VAST_0559-56A,90.01939355692404,-56.33915347063786
VAST_0918+00A,139.651747361077,0.0037709444443794287
VAST_0918-06A,139.65155983605501,-6.298205277661648
VAST_0943+00A,145.860076527777,0.0037709444443794287
VAST_0943-06A,145.85989316935502,-6.298205277661648
VAST_1008+00A,152.068405694477,0.0037709444443794287
VAST_1008-06A,152.06823066935502,-6.298205277661648
VAST_1033+00A,158.272576527777,0.0037709444443794287
VAST_1033-06A,158.272393169355,-6.298205277661648
VAST_1057+00A,164.480905694477,0.0037709444443794287
VAST_1057-06A,164.480730669355,-6.298205277661648
VAST_1122+00A,170.689247361077,0.0037709444443794287
VAST_1122-06A,170.689059836055,-6.298205277661648
VAST_1147+00A,176.89340569447702,0.0037709444443794287
VAST_1147-06A,176.893230669355,-6.298205277661648
VAST_1212+00A,183.101747361077,0.0037709444443794287
VAST_1212-06A,183.10155983605503,-6.298205277661648
VAST_1237+00A,189.30590569447702,0.0037709444443794287
VAST_1237-06A,189.30573066935503,-6.298205277661648
VAST_1302+00A,195.51424736107703,0.0037709444443794287
VAST_1302-06A,195.51405983605503,-6.298205277661648
VAST_1326+00A,201.72257652777702,0.0037709444443794287
VAST_1326-06A,201.72239316935503,-6.298205277661648
VAST_1351+00A,207.92674736107702,0.0037709444443794287
VAST_1351-06A,207.92655983605502,-6.298205277661648
VAST_1416+00A,214.13507652777702,0.0037709444443794287
VAST_1416-06A,214.13489316935502,-6.298205277661648
VAST_1441+00A,220.343405694477,0.0037709444443794287
VAST_1441-06A,220.34323066935502,-6.298205277661648
VAST_1724-31A,261.1780973802878,-31.397470666025605
VAST_1739-25A,264.90476978971117,-25.136207332844116
VAST_1752-31A,268.2364265468878,-31.397470666025605
VAST_1753-18A,268.36095473151045,-18.866124638528245
VAST_1806-25A,271.70061145641114,-25.136207332844116
VAST_2004+00A,301.03090569447704,0.0037709444443794287
VAST_2004-06A,301.030730669355,-6.298205277661648
VAST_2005-43A,301.4048673593415,-43.890499026765625
VAST_2007-56A,301.78605189022403,-56.33915347063786
VAST_2018-50A,304.6308938781728,-50.120334498738565
VAST_2028+00A,307.23924736107705,0.0037709444443794287
VAST_2028-06A,307.23905983605505,-6.298205277661648
VAST_2039-43A,309.7756965259415,-43.890499026765625
VAST_2041-62A,310.37267443502304,-62.54326388686297
VAST_2049-56A,312.373551890224,-56.33915347063786
VAST_2053+00A,313.447576527777,0.0037709444443794287
VAST_2053-06A,313.44739316935505,-6.298205277661648
VAST_2055-50A,313.8600647114728,-50.120334498738565
VAST_2112-43A,318.1465340259415,-43.890499026765625
VAST_2118+00A,319.65174736107707,0.0037709444443794287
VAST_2118-06A,319.65155983605507,-6.298205277661648
VAST_2131-56A,322.961051890224,-56.33915347063786
VAST_2131-62A,322.78517443502307,-62.54326388686297
VAST_2132-50A,323.0892230447728,-50.120334498738565
VAST_2143+00A,325.86007652777704,0.0037709444443794287
VAST_2143-06A,325.8598931693551,-6.298205277661648
VAST_2146-43A,326.5215340259415,-43.890499026765625
VAST_2208+00A,332.06840569447706,0.0037709444443794287
VAST_2208-06A,332.06823066935505,-6.298205277661648
VAST_2209-50A,332.3225647114728,-50.120334498738565
VAST_2214-56A,333.548551890224,-56.33915347063786
VAST_2219-43A,334.8923673593415,-43.890499026765625
VAST_2220-62A,335.19767443502303,-62.54326388686297
VAST_2233+00A,338.27257652777706,0.0037709444443794287
VAST_2233-06A,338.27239316935504,-6.298205277661648
VAST_2246-50A,341.55172304477276,-50.120334498738565
VAST_2253-43A,343.2631965259415,-43.890499026765625
VAST_2256-56A,344.136051890224,-56.33915347063786
VAST_2257+00A,344.48090569447703,0.0037709444443794287
VAST_2257-06A,344.48073066935507,-6.298205277661648
VAST_2322+00A,350.68924736107704,0.0037709444443794287
VAST_2322-06A,350.68905983605504,-6.298205277661648
VAST_2347+00A,356.89340569447705,0.0037709444443794287
VAST_2347-06A,356.89323066935503,-6.298205277661648
RACS_0000+12A,359.9964292239822,12.589333027547266
RACS_0000+18A,359.99793347637353,18.868471749642673
RACS_0000+31A,0.0027661209665256403,31.399613943800023
RACS_0000+37A,0.0055768593222390505,37.65183436030049
RACS_0000-12A,359.99719297804245,-12.586404805322848
RACS_0000-18A,359.9984551478491,-18.866244082978252
