SBID,OBS_FREQ,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,NINT,BMAJ,BMIN,BPA
70925,887.5,VAST_0216+00,0,2:14:27.103,+0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.600087030203094,11.697992938314936,84.3790316351875
70925,887.5,VAST_0216+00,1,2:18:39.103,+0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.65602980818608,11.740298290878492,82.3324901480771
70925,887.5,VAST_0216+00,2,2:14:27.103,-0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.80816381879638,11.523587292222372,81.8963025634334
70925,887.5,VAST_0216+00,3,2:18:39.103,-0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.854872150528337,11.469019815451908,80.2590946931522
70925,887.5,VAST_0216+00,4,2:10:14.933,+1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.421225081276214,11.8993197297582,89.617642714484
70925,887.5,VAST_0216+00,5,2:14:27.060,+1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.409829201005756,11.879846629167275,87.6056810459479
70925,887.5,VAST_0216+00,6,2:18:39.146,+1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.4066033021807,11.844515911023937,85.4800381160545
70925,887.5,VAST_0216+00,7,2:22:51.271,+1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.275897276972175,11.687395638276971,83.3656331790606
70925,887.5,VAST_0216+00,8,2:22:51.146,+0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.66632198644757,11.57525158948326,80.4198686769479
70925,887.5,VAST_0216+00,9,2:22:51.146,-0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.911046746794469,11.411846241914663,78.7310676866166
70925,887.5,VAST_0216+00,10,2:22:51.271,-1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,15.017371918264187,11.26854285398406,77.8176754946618
70925,887.5,VAST_0216+00,11,2:18:39.146,-1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,15.003037867672118,11.312915860380745,78.8374798107472
70925,887.5,VAST_0216+00,12,2:14:27.060,-1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.977165686098004,11.346542556249528,80.0086411705384
70925,887.5,VAST_0216+00,13,2:10:14.933,-1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.935642937044811,11.396636939132064,81.4819277426206
70925,887.5,VAST_0216+00,14,2:10:15.060,-0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.778367114826809,11.548691721789767,83.3479379806241
70925,887.5,VAST_0216+00,15,2:10:15.060,+0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.603252443416578,11.731837718031334,86.0136408583417
70925,887.5,VAST_0216+00,16,2:06:02.256,+2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.24284491950784,12.062672556028955,-82.5239957474337
70925,887.5,VAST_0216+00,17,2:10:14.678,+2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.18487413629788,12.051578719501128,-85.8469059680425
70925,887.5,VAST_0216+00,18,2:14:26.976,+2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.045053754718037,11.922373266049116,-88.8654767410123
70925,887.5,VAST_0216+00,19,2:18:39.230,+2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.134636924108165,12.028434934904316,88.4222984599205
70925,887.5,VAST_0216+00,20,2:22:51.528,+2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.098117546809972,11.993030139934152,86.3956018572292
70925,887.5,VAST_0216+00,21,2:27:03.950,+2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.103829442124251,11.936920009559616,83.622437990772
70925,887.5,VAST_0216+00,22,2:27:03.526,+1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.43867355760861,11.711047117853411,81.0601693663002
70925,887.5,VAST_0216+00,23,2:27:03.314,+0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.737331249168474,11.527963373853936,78.806020854757
70925,887.5,VAST_0216+00,24,2:27:03.314,-0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.88589451016919,11.229074699487192,77.3546288982809
70925,887.5,VAST_0216+00,25,2:27:03.526,-1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.84209589419393,11.189336057385516,77.4525109144279
70925,887.5,VAST_0216+00,26,2:27:03.950,-2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.71927516618032,11.18121164130942,77.6852432069937
70925,887.5,VAST_0216+00,27,2:22:51.528,-2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.92107288546791,11.139791552883288,77.5313595740688
70925,887.5,VAST_0216+00,28,2:18:39.230,-2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,15.065033499896904,11.167335255769812,78.0577190203181
70925,887.5,VAST_0216+00,29,2:14:26.976,-2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,15.083061773286492,11.148844264857289,78.831406236346
70925,887.5,VAST_0216+00,30,2:10:14.678,-2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,15.108165045701496,11.240170194927853,79.9792136612634
70925,887.5,VAST_0216+00,31,2:06:02.256,-2:37:32.770,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.964705473458428,11.110731235795404,80.6114733346467
70925,887.5,VAST_0216+00,32,2:06:02.678,-1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.832211164509449,11.283344605993644,82.6048672600269
70925,887.5,VAST_0216+00,33,2:06:02.892,-0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.730690187614565,11.536820741098223,84.8835508871049
70925,887.5,VAST_0216+00,34,2:06:02.892,+0:31:29.930,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.544683855431163,11.709783110133936,88.2256225858647
70925,887.5,VAST_0216+00,35,2:06:02.678,+1:34:30.400,2025-02-16 10:03:11.269,2025-02-16 10:15:17.859,73,14.396106557661552,11.865615381978804,-87.8329663026081
70926,887.5,VAST_0331+06,0,3:28:55.176,+6:49:11.100,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.6958761499544,12.291646742693567,62.7760669627715
70926,887.5,VAST_0331+06,1,3:33:08.962,+6:49:11.100,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.834913314293107,12.335878090213344,60.7845951376238
70926,887.5,VAST_0331+06,2,3:28:55.433,+5:46:11.240,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.873595267980944,12.03899753052216,65.5242136936423
70926,887.5,VAST_0331+06,3,3:33:08.705,+5:46:11.240,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.888379994548652,12.01403308583484,65.0217328607259
70926,887.5,VAST_0331+06,4,3:24:40.447,+7:52:03.900,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.440901463918136,12.614063416969104,58.7287452392925
70926,887.5,VAST_0331+06,5,3:28:54.876,+7:52:11.570,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.53204038089224,12.563263331939629,57.6021683659986
70926,887.5,VAST_0331+06,6,3:33:09.262,+7:52:11.570,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.633310712933792,12.52423734186294,57.1715778255755
70926,887.5,VAST_0331+06,7,3:37:23.688,+7:52:03.900,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.57507320879481,12.374885353445064,57.1194600082863
70926,887.5,VAST_0331+06,8,3:37:22.788,+6:49:03.430,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.863959395850989,12.209480866141416,61.8153302278894
70926,887.5,VAST_0331+06,9,3:37:22.018,+5:46:03.610,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.887107467293168,11.994541234085125,64.6217697074118
70926,887.5,VAST_0331+06,10,3:37:21.379,+4:43:03.140,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.858251965050211,11.80016128516698,67.2069550721053
70926,887.5,VAST_0331+06,11,3:33:08.491,+4:43:10.780,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.910190798034044,11.816136344443896,67.4743272418663
70926,887.5,VAST_0331+06,12,3:28:55.644,+4:43:10.780,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.948784105919948,11.813680538001863,68.0008537310112
70926,887.5,VAST_0331+06,13,3:24:42.756,+4:43:03.140,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.97456337512934,11.837061959002884,68.4791419136679
70926,887.5,VAST_0331+06,14,3:24:42.118,+5:46:03.610,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.81536292568249,12.068483888949409,66.5871890567158
70926,887.5,VAST_0331+06,15,3:24:41.350,+6:49:03.430,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.62056871240036,12.346718631159815,63.8993827605547
70926,887.5,VAST_0331+06,16,3:20:24.173,+8:54:50.830,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.220602501894955,12.925715176044577,37.8508060709111
70926,887.5,VAST_0331+06,17,3:24:39.415,+8:55:06.240,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.318367523217669,12.881148191719596,43.3566080819772
70926,887.5,VAST_0331+06,18,3:28:54.530,+8:55:13.940,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.310200531516392,12.699970957590912,46.1890988748103
70926,887.5,VAST_0331+06,19,3:33:09.605,+8:55:13.940,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.52042163616878,12.774448422430272,47.5380523651355
70926,887.5,VAST_0331+06,20,3:37:24.722,+8:55:06.240,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.615760323065132,12.728810558842811,48.7736568611979
70926,887.5,VAST_0331+06,21,3:41:39.962,+8:54:50.830,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.716734373978875,12.684804790664987,50.2122881865141
70926,887.5,VAST_0331+06,22,3:41:38.239,+7:51:48.530,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.818005987923332,12.416956980051385,57.5439986598487
70926,887.5,VAST_0331+06,23,3:41:36.739,+6:48:48.130,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.888189636061725,12.204857111061347,61.339760202598
70926,887.5,VAST_0331+06,24,3:41:35.458,+5:45:48.350,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.786514772045551,11.886431291320248,65.2323637914249
70926,887.5,VAST_0331+06,25,3:41:34.392,+4:42:47.880,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.696407885702277,11.68324133596002,67.2129499745628
70926,887.5,VAST_0331+06,26,3:41:33.545,+3:39:45.540,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.69574148986352,11.603275381688723,69.4287647749436
70926,887.5,VAST_0331+06,27,3:37:20.870,+3:40:00.770,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.747196953657546,11.597212688514013,69.5104220984251
70926,887.5,VAST_0331+06,28,3:33:08.321,+3:40:08.400,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.833680325017797,11.60589513672468,69.7231291478972
70926,887.5,VAST_0331+06,29,3:28:55.814,+3:40:08.400,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.895647024165129,11.565034012445327,70.1265179658431
70926,887.5,VAST_0331+06,30,3:24:43.265,+3:40:00.770,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,14.011078391008416,11.638734042906432,70.2917401243977
70926,887.5,VAST_0331+06,31,3:20:30.593,+3:39:45.540,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.925858209589087,11.48629940304822,70.3039900119961
70926,887.5,VAST_0331+06,32,3:20:29.743,+4:42:47.880,2025-02-16 10:16:47.438,2025-02-16 10:28:54.028,73,13.835552463682813,11.713508443498895,69.1997341147883
