SBID,OBS_FREQ,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,BMAJ,BMIN,BPA
8537,864.5,RACS_0131+37A,34,01:18:33.802,+38:06:35.96,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,31.19,9.95,-6.9
8537,864.5,RACS_0131+37A,35,01:18:21.972,+39:09:33.9098,2019-04-21 04:07:50.563,2019-04-21 04:11:19.565,32.77,9.87,-6.9
8537,864.5,RACS_0202+37A,0,01:59:52.961,+38:09:17.3498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.64,8.12,-2.5
8537,864.5,RACS_0202+37A,1,02:05:13.421,+38:09:17.3498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.28,8.06,-1.3
8537,864.5,RACS_0202+37A,2,01:59:55.21,+37:06:17.6,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.0,8.19,-2.3
8537,864.5,RACS_0202+37A,3,02:05:11.172,+37:06:17.6,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.06,8.18,-1.0
8537,864.5,RACS_0202+37A,4,01:54:25.411,+39:11:23.14,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.04,8.08,-3.8
8537,864.5,RACS_0202+37A,5,01:59:50.592,+39:12:17.7502,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,32.99,7.81,-2.2
8537,864.5,RACS_0202+37A,6,02:05:15.79,+39:12:17.7502,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.16,8.02,-1.4
8537,864.5,RACS_0202+37A,7,02:10:40.973,+39:11:23.14,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,29.15,8.06,-0.0
8537,864.5,RACS_0202+37A,8,02:10:33.869,+38:08:23.5702,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,31.3,7.85,0.1
8537,864.5,RACS_0202+37A,9,02:10:27.127,+37:05:24.58,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.7,8.12,0.1
8537,864.5,RACS_0202+37A,10,02:10:20.726,+36:02:24.9,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.17,8.2,-0.2
8537,864.5,RACS_0202+37A,11,02:05:09.038,+36:03:17.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.07,8.27,-1.2
8537,864.5,RACS_0202+37A,12,01:59:57.343,+36:03:17.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.76,8.25,-2.2
8537,864.5,RACS_0202+37A,13,01:54:45.655,+36:02:24.9,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.73,8.21,-3.5
8537,864.5,RACS_0202+37A,14,01:54:39.254,+37:05:24.58,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,26.96,8.2,-3.5
8537,864.5,RACS_0202+37A,15,01:54:32.513,+38:08:23.5702,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,27.62,8.14,-3.7
8537,864.5,RACS_0202+37A,16,01:48:47.801,+40:12:33.5498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.66,7.99,-5.2
8537,864.5,RACS_0202+37A,17,01:54:17.921,+40:14:24.54,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.62,8.04,-3.8
8537,864.5,RACS_0202+37A,18,01:59:48.096,+40:15:20.02,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,33.75,7.83,-2.3
8537,864.5,RACS_0202+37A,19,02:05:18.286,+40:15:20.02,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.06,7.83,-1.4
8537,864.5,RACS_0202+37A,20,02:10:48.461,+40:14:24.54,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.19,7.72,-0.1
8537,864.5,RACS_0202+37A,21,02:16:18.581,+40:12:33.5498,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.07,7.78,1.2
8537,864.5,RACS_0202+37A,22,02:16:06.11,+39:09:33.9098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,28.49,7.77,1.2
8537,864.5,RACS_0202+37A,23,02:15:54.283,+38:06:35.96,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,31.14,7.66,1.3
8537,864.5,RACS_0202+37A,24,02:15:43.056,+37:03:38.48,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,30.03,7.77,1.4
8537,864.5,RACS_0202+37A,25,02:15:32.398,+36:00:40.2098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.77,8.12,1.4
8537,864.5,RACS_0202+37A,26,02:15:22.272,+34:57:39.82,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.16,8.15,1.3
8537,864.5,RACS_0202+37A,27,02:10:14.647,+34:59:23.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.82,8.23,-0.1
8537,864.5,RACS_0202+37A,28,02:05:07.01,+35:00:14.94,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.82,8.24,-1.2
8537,864.5,RACS_0202+37A,29,01:59:59.371,+35:00:14.94,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.51,8.21,-2.2
8537,864.5,RACS_0202+37A,30,01:54:51.734,+34:59:23.24,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.47,8.22,-3.5
8537,864.5,RACS_0202+37A,31,01:49:44.11,+34:57:39.82,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,24.46,8.22,-4.7
8537,864.5,RACS_0202+37A,32,01:49:33.984,+36:00:40.2098,2019-04-21 04:26:45.254,2019-04-21 04:41:50.986,25.88,8.18,-5.0
