SBID,OBS_FREQ,FIELD_NAME,BEAM,RA_HMS,DEC_DMS,DATEOBS,DATEEND,NINT,BMAJ,BMIN,BPA
50432,887.5,VAST_1135-62,0,11:30:42.228,-61:58:08.800,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.116386667030785,11.15979423765426,38.6249574700225
50432,887.5,VAST_1135-62,1,11:39:38.460,-61:58:08.800,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.975109619971374,11.160050714301851,35.6874348177398
50432,887.5,VAST_1135-62,2,11:30:32.621,-63:01:08.040,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.300053584319771,11.145558766472208,37.8758769528305
50432,887.5,VAST_1135-62,3,11:39:48.067,-63:01:08.040,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.181682477069089,11.172603913734564,34.8999996608662
50432,887.5,VAST_1135-62,4,11:22:13.121,-60:53:02.440,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.099672294674605,11.18955306308544,42.2862873951926
50432,887.5,VAST_1135-62,5,11:30:51.108,-60:55:08.870,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.928421015160929,11.164519234652149,39.4426268773564
50432,887.5,VAST_1135-62,6,11:39:29.580,-60:55:08.870,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.801848465342104,11.175144930282023,36.5501473458018
50432,887.5,VAST_1135-62,7,11:48:07.567,-60:53:02.440,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.66651505395387,11.16270450347562,33.6937241282166
50432,887.5,VAST_1135-62,8,11:48:34.145,-61:55:58.120,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.84403150804084,11.159760010702753,32.7155767916046
50432,887.5,VAST_1135-62,9,11:49:02.890,-62:58:52.680,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.04578917326741,11.172819426907177,31.8093391295152
50432,887.5,VAST_1135-62,10,11:49:34.068,-64:01:47.420,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.242840291972952,11.16879942424374,30.8986114536509
50432,887.5,VAST_1135-62,11,11:39:58.488,-64:04:07.900,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.385950997709184,11.178544958121709,33.9891057272171
50432,887.5,VAST_1135-62,12,11:30:22.200,-64:04:07.900,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.512161014237169,11.158654326538716,37.0265728595357
50432,887.5,VAST_1135-62,13,11:20:46.620,-64:01:47.420,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.636926077291369,11.12443371504936,40.0368447312382
50432,887.5,VAST_1135-62,14,11:21:17.798,-62:58:52.680,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.425320583085805,11.129954853853368,40.6927182858967
50432,887.5,VAST_1135-62,15,11:21:46.543,-61:55:58.120,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.272824046503716,11.182282791172272,41.5300840781888
50432,887.5,VAST_1135-62,16,11:14:17.498,-59:45:59.760,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,15.043137511557385,11.153863000685485,45.8218393963173
50432,887.5,VAST_1135-62,17,11:22:37.769,-59:50:04.490,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.904098894755656,11.16684331480242,43.0705983785715
50432,887.5,VAST_1135-62,18,11:30:59.340,-59:52:06.960,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.764869606063384,11.16709137359658,40.2677093116401
50432,887.5,VAST_1135-62,19,11:39:21.348,-59:52:06.960,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.634702123393131,11.176508980250604,37.5055024678057
50432,887.5,VAST_1135-62,20,11:47:42.919,-59:50:04.490,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.497089415340328,11.1667688446248,34.7393442403202
50432,887.5,VAST_1135-62,21,11:56:03.190,-59:45:59.760,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.39349036746328,11.189076973066692,31.972587086261
50432,887.5,VAST_1135-62,22,11:56:44.093,-60:48:49.930,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.55303347922438,11.174001396219865,30.81549567437
50432,887.5,VAST_1135-62,23,11:57:28.190,-61:51:37.080,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.719986640998,11.1570382098585,29.726083474727
50432,887.5,VAST_1135-62,24,11:58:15.862,-62:54:22.360,2023-06-12 11:53:14.275,2023-06-12 12:05:20.865,73,14.917011743654172,11.166911404643844,28.7596903825577
