SRC,FIELD_NAME,SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,OBS_FREQ,FOOTPRINT,PITCH,ROTATION,DURATION,POL_MODE,POL_AXIS,SB_TIME,SB_START_DATE,SB_START_TIME,SB_END_DATE,SB_END_TIME,CAL_SBID,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,PSF_MAJOR,PSF_MINOR,PSF_ANGLE
14,VAST_2246-50A,9668,OBSERVED,22 46 09,-50 05 45,341.537500,-50.095833,340.544520,-56.878931,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22289.000000,2019-08-27,18 11 23.357089,2019-08-28,00 22 53.034645
15,VAST_2322-06A,9668,OBSERVED,23 22 46,-6 17 59,350.691667,-6.299722,73.586562,-60.372816,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22289.000000,2019-08-27,18 11 23.357089,2019-08-28,00 22 53.034645
16,VAST_2347-06A,9668,OBSERVED,23 47 35,-6 17 59,356.895833,-6.299722,83.974600,-64.228459,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22289.000000,2019-08-27,18 11 23.357089,2019-08-28,00 22 53.034645
17,VAST_0012-06A,9667,PROCESSING,0 12 25,-6 17 59,3.104167,-6.299722,97.172473,-67.199170,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22283.000000,2019-08-27,11 59 59.609318,2019-08-27,18 11 22.654357
18,VAST_0037-06A,9667,PROCESSING,0 37 14,-6 17 59,9.308333,-6.299722,113.085227,-68.899468,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22283.000000,2019-08-27,11 59 59.609318,2019-08-27,18 11 22.654357
19,VAST_0102-06A,9667,PROCESSING,1 02 04,-6 17 59,15.516667,-6.299722,130.325994,-69.018741,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22283.000000,2019-08-27,11 59 59.609318,2019-08-27,18 11 22.654357
2,VAST_1739-25A,9673,OBSERVED,17 39 37,-25 07 47,264.904167,-25.129722,2.535972,3.138528,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,21167.000000,2019-08-28,09 59 59.292451,2019-08-28,15 52 46.487836
20,VAST_0127-73A,9673,OBSERVED,1 27 14,-73 01 54,21.808333,-73.031667,299.323061,-43.844885,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,21167.000000,2019-08-28,09 59 59.292451,2019-08-28,15 52 46.487836
21,VAST_0151-06A,9668,OBSERVED,1 51 43,-6 17 59,27.929167,-6.299722,160.170434,-64.719392,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22289.000000,2019-08-27,18 11 23.357089,2019-08-28,00 22 53.034645
22,VAST_0216-06A,9667,PROCESSING,2 16 33,-6 17 59,34.137500,-6.299722,170.940879,-60.967557,864.500000,square_6x6,1.050000,45.000000,3600,pa_fixed,-45.000000,22283.000000,2019-08-27,11 59 59.609318,2019-08-27,18 11 22.654357
